3,600,1,0,1
6,700,0,1,0
9,2400,1,0,1
12,2600,0,0,1
15,2500,1,1,0
18,2300,1,1,0
21,1600,0,1,0
24,790,1,0,1
3,600,0,0,1
6,650,1,0,1
9,2500,0,0,1
12,2650,0,0,1
15,2500,1,0,1
18,2300,0,1,0
21,1600,1,1,0
24,800,0,1,0
3,580,1,0,1
6,600,0,0,1
9,1800,0,0,1
12,1900,0,0,1
15,1950,0,0,1
18,1800,0,0,1
21,1500,1,1,0
24,770,1,1,0
3,650,0,0,1
6,600,1,0,1
9,2470,0,0,1
12,2700,1,0,1
15,2700,0,0,1
18,2320,1,1,0
21,1600,0,1,0
24,800,1,1,0
3,650,1,0,1
6,670,0,1,0
9,2440,1,0,1
12,2650,0,0,1
15,2660,1,0,1
18,2290,0,0,1
21,1630,1,1,0
24,750,0,1,0
3,700,0,0,1
6,690,1,0,1
9,2430,0,0,1
12,2660,1,0,1
15,2500,0,0,1
18,2300,1,1,0
21,1550,0,1,0
24,780,1,1,0
3,660,1,0,1
6,630,1,0,1
9,1500,1,0,1
12,1680,1,1,0
15,1700,1,1,0
18,1700,1,1,0
21,1320,1,1,0
24,790,0,0,1
3,750,0,0,1
6,800,0,1,0
9,2100,0,0,1
12,2500,0,0,1
15,2480,0,0,1
18,1900,0,1,0
21,1500,0,0,1
24,780,1,1,0
3,760,1,0,1
6,750,0,1,0
9,1900,0,0,1
12,2480,1,1,0
15,2450,0,0,1
18,1870,0,0,1
21,1500,1,1,0
24,750,0,0,1
3,700,0,0,1
6,730,1,0,1
9,1960,0,0,1
12,2550,0,0,1
15,2540,1,0,1
18,2000,1,1,0
21,1350,0,1,0
24,800,0,0,1
3,750,1,0,1
6,760,0,1,0
9,1940,0,0,1
12,2500,1,0,1
15,2450,0,0,1
18,1880,1,1,0
21,780,0,1,0
24,810,0,1,0
3,750,1,0,1
6,1000,0,1,0
9,1950,0,0,1
12,2500,1,0,1
15,2500,0,0,1
18,2320,0,1,0
21,1310,1,1,0
24,790,1,1,0
3,720,0,0,1
6,710,1,0,1
9,1900,0,0,1
12,2400,1,0,1
15,2470,0,0,1
18,1900,1,1,0
21,1330,0,0,1
24,800,1,1,0
